pdb_id,asym_id,chain_id,length,model_id,filename,is_membrane_env,Deposited Model Count
2NOU,A,A,10,0,2NOU.cif.gz,False,20
6B9K,A,A,10,0,6B9K.cif.gz,False,20
1KUW,A,A,10,0,1KUW.cif.gz,False,39
1N6T,A,A,10,0,1N6T.cif.gz,False,20
2MZX,A,A,10,0,2MZX.cif.gz,False,11
2MQ5,A,A,10,0,2MQ5.cif.gz,False,20
2JTA,A,A,10,0,2JTA.cif.gz,False,20
1N9U,A,A,10,0,1N9U.cif.gz,False,21
2MD2,A,A,10,0,2MD2.cif.gz,False,10
1TOR,A,A,10,0,1TOR.cif.gz,False,5
1TOS,A,A,10,0,1TOS.cif.gz,False,3
1HFF,A,A,10,0,1HFF.cif.gz,False,55
2L7T,A,A,11,0,2L7T.cif.gz,False,10
2MQ4,A,A,11,0,2MQ4.cif.gz,False,20
1GM2,A,A,11,0,1GM2.cif.gz,False,30
2LER,A,A,11,0,2LER.cif.gz,False,20
1FUL,A,A,11,0,1FUL.cif.gz,False,19
6RRO,A,A,11,0,6RRO.cif.gz,False,20
1Y5C,A,A,11,0,1Y5C.cif.gz,False,20
6RSM,A,A,11,0,6RSM.cif.gz,False,20
1LVZ,A,A,11,0,1LVZ.cif.gz,False,20
1QWP,A,A,11,0,1QWP.cif.gz,False,20
1AQG,A,A,11,0,1AQG.cif.gz,False,20
1L3Q,A,A,12,0,1L3Q.cif.gz,False,1
2BC7,A,A,12,0,2BC7.cif.gz,False,20
2BC8,A,A,12,0,2BC8.cif.gz,False,20
6FGM,A,A,12,0,6FGM.cif.gz,False,20
1IXU,A,A,12,0,1IXU.cif.gz,False,1
2MIE,A,A,12,0,2MIE.cif.gz,False,10
1IM1,A,A,12,0,1IM1.cif.gz,False,20
2MD4,A,A,12,0,2MD4.cif.gz,False,10
5Z5W,A,A,12,0,5Z5W.cif.gz,False,20
1KZ5,A,A,12,0,1KZ5.cif.gz,False,16
2MID,A,A,12,0,2MID.cif.gz,False,10
2MIG,A,A,12,0,2MIG.cif.gz,False,10
2LWS,A,A,12,0,2LWS.cif.gz,False,20
1MYU,A,A,12,0,1MYU.cif.gz,False,20
2FBU,A,H,12,0,2FBU.cif.gz,False,5
2MIF,A,A,12,0,2MIF.cif.gz,False,10
